iteration	dimension	classification	severity	title	description	parent
26	temporal	new	HIGH	Subscription expires at midnight but user is mid-session	Stripe fires subscription.deleted at 00:00 → webhook updates profile → user currently using app → next API call sees expired subscription → abrupt feature lockout	-
27	temporal	new	MEDIUM	Kapso QR code expires before user scans	Admin triggers QR code → walks away → returns 5 min later → QR expired → no feedback in UI → user waits indefinitely thinking it's loading	-
28	temporal	new	HIGH	WhatsApp message timestamp vs server time mismatch	Message sent at 23:59 local time → arrives at server 00:01 UTC next day → date-based queries miss messages near midnight boundaries	-
29	permission	new	HIGH	Viewer role user accesses kapso-manager	Viewer has JWT → calls kapso-manager directly via fetch → role check is ["admin","manager"] → returns 403 → BUT what if role check query fails? Falls through?	-
30	permission	new	MEDIUM	Deactivated user still has valid JWT	Admin deactivates user via UsuariosManager → user's existing JWT still valid until expiry → can still access data for token lifetime	-
31	recovery	new	CRITICAL	Server crash mid-Stripe webhook processing	Webhook received → idempotency row inserted → crash before subscription updated → Stripe retries → idempotency check says "already processed" → subscription never updated	-
32	recovery	new	HIGH	Kapso connection lost and auto-reconnect fails	Connection drops → connection.update state="close" → status set to inativa → no auto-reconnect mechanism → messages lost until admin manually reconnects	-
33	state_transition	new	HIGH	Lead status downgrade attempt via auto-qualification	Lead is in "proposta" status → new message arrives → analyzeQualification suggests "qualificado" → should NOT downgrade → verify never-downgrade rule works	-
34	state_transition	new	CRITICAL	Subscription goes active→past_due→active rapidly	Payment fails → past_due → user updates card → new payment succeeds → active → but webhook ordering not guaranteed → past_due webhook arrives AFTER active	-
35	edge_case+concurrent	new	CRITICAL	Stripe checkout.session.completed + subscription.created arrive simultaneously	Both webhooks fire at same moment → both try to upsert subscriptions → race condition on tenant_id + stripe_subscription_id	-
36	edge_case+integration	new	HIGH	Kapso returns HTML error page instead of JSON	Kapso is in maintenance → returns 503 with HTML body → kapsoFetch tries .json() → throws → error message contains full HTML page in logs	-
37	error_path+temporal	new	HIGH	WhatsApp message arrives during Edge Function cold start	First message after idle → function cold starts (2-3s) → Kapso/Meta has short webhook timeout → times out → retries → dedup catches second attempt but response delayed	-
38	abuse+scale	new	CRITICAL	Coordinated webhook flood from multiple IPs	Distributed attack sends fake webhooks from 100+ IPs → rate limit per IP allows 120*100=12000 req/min → OpenAI API costs explode	-
39	data_variation+edge_case	new	MEDIUM	Lead sends only sticker or location	WhatsApp sticker message → no text content → media-processor can't process sticker → extractedText="" → AI responds to empty context	-
40	concurrent+state_transition	new	HIGH	Admin disconnects while message is being processed	Admin clicks disconnect → kapso-manager sends logout → simultaneously webhook processes message → tries to send response → Kapso API rejects (disconnected)	-
41	integration+recovery	new	HIGH	OpenAI rate limit hit during peak hours	Multiple tenants sending messages → all hit OpenAI concurrently → 429 rate limit → no retry for OpenAI calls → all get fallback message → office appears unresponsive	-
42	temporal+permission	new	MEDIUM	JWT expires mid-checkout flow	User starts checkout → JWT expires while on Stripe page → returns to success URL → app sees expired session → redirects to login → loses checkout context	-
43	edge_case	new	HIGH	Webhook event with missing nested fields	Kapso sends payload where data.key exists but data.message is undefined → code accesses data.message.text → TypeError → 500 response	-
44	error_path+recovery	new	CRITICAL	Database connection pool exhausted during webhook burst	Black Friday-like traffic → many webhooks simultaneously → Supabase connection pool full → all DB operations fail → messages lost, no recovery	-
45	abuse+permission	new	HIGH	Forged instanceName to access other tenant data	Attacker creates instance named jurify_VICTIM_TENANT → webhook resolves to victim's tenant_id → attacker's messages appear in victim's conversation list	-
46	data_variation	new	MEDIUM	Invoice amount is zero (free trial end with no charge)	Stripe fires invoice.payment_succeeded with amount=0 → email template shows "R$0,00" → confusing to user	-
47	scale+concurrent	new	HIGH	Multiple admin users manage Kapso connection simultaneously	Admin A creates connection → Admin B also clicks create → two instances created → only one gets webhooks → inconsistent state	-
48	edge_case+temporal	new	MEDIUM	Message arrives exactly at rate limit boundary	Request 120 arrives at window boundary → rate limit check → window expires mid-check → should allow or deny?	-
49	state_transition+integration	new	HIGH	Kapso instance name collision across tenants	Two tenants both try jurify_lawfirm → Kapso API allows only one → second fails → unclear error message to admin	-
50	recovery+scale	new	CRITICAL	Edge Function hits memory limit processing large audio file	Lead sends 10-minute audio → media-processor downloads base64 (~20MB) → Deno memory limit hit → function crashes → no response sent	-
51	edge_case	new	MEDIUM	Lead changes WhatsApp number	Lead contacts from new phone → system creates new lead → duplicate client data → no merge mechanism	-
52	integration	new	HIGH	Kapso API changes payload format without notice	Kapso updates their API → field names change → isKapsoPayload() still matches → normalization fails silently → empty/wrong data stored	-
53	abuse	new	HIGH	Replay attack on WhatsApp webhook	Attacker captures valid webhook payload → replays it hours later → dedup window (5 min in-memory) expired → DB check may pass if webhook_events cleaned up → message processed again	-
54	temporal+state_transition	new	MEDIUM	Trial period ends exactly when user is sending first message	Trial expires → subscription.deleted fires → profile updated to free tier → message hits AI → AI limit check (if exists) blocks → user's first experience is failure	-
55	edge_case+data_variation	new	LOW	Unicode right-to-left override in lead name	Lead sends name with RTL override character → displayed incorrectly in UI tables → potential UI layout breaking	-
